property,synsetId,synsetName,mean,normVar,n,minValue,maxValue
Height,n02683323,afghan,0.62,2.25,11.0,0.125000004,0.250000008
Height,n02844307,bit,0.24,1.05,4.0,0.083333336,0.252916675
Height,n02742753,arrow,1.31,0.97,2.0,0.670833355,1.945833396
Height,n02909870,bucket,0.78,0.07,3.0,0.757500024,0.820000026
Height,n04038440,rack,1.2,0.68,3.0,0.835416693,1.760416723
Height,n02982599,catch,0.42,0.0,1.0,0.41666668,0.41666668
Height,n03623556,knife,0.13,1.16,12.0,0.047916668,0.146875005
Height,n04141975,scale,0.11,0.29,7.0,0.09166667,0.150000005
Height,n04298765,stake,0.61,1.09,8.0,0.142083338,0.916666696
Height,n04020298,pulley,0.37,1.51,16.0,0.153958338,0.337500011
Height,n04236702,sleeve,0.41,1.11,8.0,0.051875002,0.581250019
Height,n03929443,pick,0.21,1.3,3.0,0.016666667,0.304166676
Height,n02933112,cabinet,5.16,0.23,2.0,4.56770848,5.744791851
Height,n03340009,filter,0.26,1.13,5.0,0.092500003,0.270833342
Height,n03880323,pan,0.43,0.76,3.0,0.20333334,0.583333352
Height,n04299963,stamp,0.38,0.92,4.0,0.165416672,0.433333347
Height,n03208556,disk,0.19,0.76,6.0,0.11666667,0.168750005
Height,n03624134,knife,0.27,0.85,2.0,0.156250005,0.385416679
Height,n04038727,rack,1.69,0.88,6.0,0.71354169,1.596875051
Height,n04587648,window,0.88,0.43,2.0,0.687500022,1.062500034
Height,n03584254,ipod,0.16,0.89,13.0,0.025000001,0.200000006
Height,n04474466,trap,0.38,0.66,5.0,0.166666672,0.497500016
Height,n02666624,a_battery,0.25,0.78,6.0,0.077083336,0.443750014
Height,n02676566,acoustic_guitar,1.11,1.13,14.0,0.395833346,1.208333372
Height,n02678897,adapter,0.15,0.44,13.0,0.083333336,0.166666672
Height,n02679257,adding_machine,0.59,0.64,10.0,0.291666676,1.012500032
Height,n02686379,air_conditioner,1.25,0.42,12.0,1.015625033,1.213541706
Height,n02687682,air_cushion,0.23,0.49,5.0,0.20833334,0.230000007
Height,n02688273,air_filter,0.68,0.14,4.0,0.633333354,0.753541691
Height,n02689274,air_gun,0.36,0.7,9.0,0.183333339,0.500000016
Height,n02692513,air_pump,0.39,0.51,10.0,0.242708341,0.489583349
Height,n02694662,alarm_clock,0.35,0.38,11.0,0.260416675,0.479166682
Height,n02708093,analog_clock,0.37,0.8,13.0,0.166666672,0.391666679
Height,n02708224,analog_computer,0.08,0.0,1.0,0.075000002,0.075000002
Height,n02708433,analog_watch,0.2,0.74,8.0,0.103958337,0.243750008
Height,n02709367,anchor,1.18,0.49,7.0,0.662083335,3.083333336
Height,n02715229,antenna,0.63,1.03,9.0,0.100000003,1.083333368
Height,n02727141,aperture,0.19,0.0,1.0,0.191666673,0.191666673
Height,n02729837,appliance,0.62,0.33,3.0,0.477083349,0.697916689
Height,n02729965,appliance,1.77,1.83,6.0,0.166666672,0.620833353
Height,n02730930,apron,0.63,1.74,12.0,0.047916668,0.314583343
Height,n02732072,aquarium,0.89,0.22,15.0,0.83333336,1.018750033
Height,n02735268,arch_support,0.35,0.98,11.0,0.050000002,0.667916688
Height,n02738859,arm_guard,0.23,1.23,12.0,0.039583335,0.276666676
Height,n02738535,armchair,3.25,0.53,5.0,1.500000048,3.9500000048
Height,n02747177,ashcan,0.83,0.0,1.0,0.83333336,0.83333336
Height,n02752615,athletic_supporter,0.14,0.59,12.0,0.102083337,0.166666672
Height,n02757061,audio_cd,0.15,0.86,2.0,0.084375003,0.21145834
Height,n02757462,audio_system,1.11,0.35,10.0,0.916666696,1.287500041
Height,n02760855,automatic_rifle,0.3,0.84,9.0,0.183333339,0.291666676
Height,n02763306,auxiliary_storage,0.08,0.0,1.0,0.075833336,0.075833336
Height,n02766320,baby_bed,2.13,0.5,7.0,1.322916709,3.156250101
Height,n02767147,baby_shoe,0.24,0.28,14.0,0.191666673,0.291666676
Height,n02768655,back_brace,0.41,0.96,13.0,0.09166667,0.500000016
Height,n02769748,backpack,1.09,0.42,14.0,0.958333364,1.414583379
Height,n02772101,backup_system,0.89,0.15,4.0,0.852083361,0.990625032
Height,n02777292,balance_beam,0.37,0.49,8.0,0.250000008,0.458333348
Height,n02794664,bar_printer,0.49,0.03,3.0,0.483333349,0.500000016
Height,n02790669,barbecue,1.97,0.79,4.0,0.593750019,3.354166774
Height,n02799323,baseball_cap,0.26,0.36,11.0,0.244583341,0.308333343
Height,n02800213,baseball_glove,0.49,0.28,13.0,0.41666668,0.562500018
Height,n02803666,bass_drum,1.69,0.27,7.0,1.750000056,1.933333395
Height,n02804123,bass_guitar,1.16,0.96,11.0,0.270833342,1.935833395
Height,n02808304,bath_towel,0.8,1.47,11.0,0.308333343,0.587500019
Height,n02809736,baton,0.08,0.58,5.0,0.033333334,0.125000004
Height,n02811059,batting_cage,6.17,0.84,6.0,1.072916701,11.50000037
Height,n02814116,bb_gun,0.61,1.34,13.0,0.183333339,0.583333352
Height,n02814428,beach_towel,0.15,0.85,12.0,0.078958336,0.177083339
Height,n02820675,bed_jacket,0.3,0.36,8.0,0.272916675,0.347916678
Height,n02823428,beer_bottle,0.62,0.55,5.0,0.525000017,0.791666692
Height,n02823510,beer_can,0.8,0.12,2.0,0.752708357,0.848125027
Height,n02823750,beer_glass,0.6,0.27,18.0,0.560416685,0.72166669
Height,n02824058,beer_mug,0.5,0.29,12.0,0.353125011,0.604166686
Height,n02826068,bell_jar,0.57,0.5,7.0,0.427083347,0.733333357
Height,n02828115,belt,0.79,1.07,3.0,0.20208334,1.183333371
Height,n02829596,bench_press,3.72,0.58,9.0,1.333333376,5.00000016
Height,n02830157,bender,0.22,0.25,3.0,0.177083339,0.239583341
Height,n02835915,bicycle_seat,0.4,0.36,12.0,0.333333344,0.483333349
Height,n02837789,bikini,0.16,0.4,8.0,0.11666667,0.193750006
Height,n02840134,binder,0.92,0.26,13.0,0.958333364,1.000000032
Height,n02847631,black_tie,0.08,0.49,16.0,0.047916668,0.095833336
Height,n02848806,blade,0.08,0.0,1.0,0.075000002,0.075000002
Height,n02850358,blazer,0.13,0.37,6.0,0.087500003,0.154791672
Height,n02854739,bloomers,0.18,1.45,12.0,0.056250002,0.150000005
