workerid,input_measurement,user_ranking,our_ranking,object_name,multiplier,multScore,multScore_w,normFam,normFam_w,normV,normV_w,totalScore,,,,,,,,,
A1ME089VLGOBBI,5,5,4,radio,1.7,0,0,0.275,1.375,0.82,1.64,3.015,,,,,,,,,
A1ME089VLGOBBI,5,6,5,kettle,2.7,0,0,0.465,2.325,0.39,0.78,3.105,,,,,,,,,
A1ME089VLGOBBI,5,7,8,golf_bag,1.3,0,0,0.39,1.95,0.69,1.38,3.33,,,,,,,,,
A1ME089VLGOBBI,5,8,3,pot,3,0,0,0.165,0.825,0.98,1.96,2.785,,,,,,,,,
A18T2RB58399AD,5,1,6,desk_phone,2.5,0,0,0.465,2.325,0.42,0.84,3.165,,,,,,,,,
A18T2RB58399AD,5,2,2,power_drill,1.2,0,0,0.28,1.4,0.57,1.14,2.54,,,,,,,,,
A18T2RB58399AD,5,3,7,lantern,2.7,0,0,0.275,1.375,0.96,1.92,3.295,,,,,,,,,
A18T2RB58399AD,5,4,3,pot,3,0,0,0.165,0.825,0.98,1.96,2.785,,,,,,,,,
A18T2RB58399AD,5,5,5,kettle,2.7,0,0,0.465,2.325,0.39,0.78,3.105,,,,,,,,,
A18T2RB58399AD,5,6,4,radio,1.7,0,0,0.275,1.375,0.82,1.64,3.015,,,,,,,,,
A18T2RB58399AD,5,7,1,laptop,1.1,0,0,0.23,1.15,0.27,0.54,1.69,,,,,,,,,
A18T2RB58399AD,5,8,8,golf_bag,1.3,0,0,0.39,1.95,0.69,1.38,3.33,,,,,,,,,
ATDTDYACIYC97,5,1,3,pot,3,0,0,0.165,0.825,0.98,1.96,2.785,,,,,,,,,
ATDTDYACIYC97,5,2,6,desk_phone,2.5,0,0,0.465,2.325,0.42,0.84,3.165,,,,,,,,,
ATDTDYACIYC97,5,3,2,power_drill,1.2,0,0,0.28,1.4,0.57,1.14,2.54,,,,,,,,,
ATDTDYACIYC97,5,4,1,laptop,1.1,0,0,0.23,1.15,0.27,0.54,1.69,,,,,,,,,
ATDTDYACIYC97,5,5,5,kettle,2.7,0,0,0.465,2.325,0.39,0.78,3.105,,,,,,,,,
ATDTDYACIYC97,5,6,7,lantern,2.7,0,0,0.275,1.375,0.96,1.92,3.295,,,,,,,,,
ATDTDYACIYC97,5,7,4,radio,1.7,0,0,0.275,1.375,0.82,1.64,3.015,,,,,,,,,
ATDTDYACIYC97,5,8,8,golf_bag,1.3,0,0,0.39,1.95,0.69,1.38,3.33,,,,,,,,,
A16BLPK5DB2XGM,5,1,5,kettle,2.7,0,0,0.465,2.325,0.39,0.78,3.105,,,,,,,,,
A16BLPK5DB2XGM,5,2,4,radio,1.7,0,0,0.275,1.375,0.82,1.64,3.015,,,,,,,,,
A16BLPK5DB2XGM,5,3,7,lantern,2.7,0,0,0.275,1.375,0.96,1.92,3.295,,,,,,,,,
A16BLPK5DB2XGM,5,4,6,desk_phone,2.5,0,0,0.465,2.325,0.42,0.84,3.165,,,,,,,,,
A16BLPK5DB2XGM,5,5,2,power_drill,1.2,0,0,0.28,1.4,0.57,1.14,2.54,,,,,,,,,
A16BLPK5DB2XGM,5,6,3,pot,3,0,0,0.165,0.825,0.98,1.96,2.785,,,,,,,,,
A16BLPK5DB2XGM,5,7,1,laptop,1.1,0,0,0.23,1.15,0.27,0.54,1.69,,,,,,,,,
A16BLPK5DB2XGM,5,8,8,golf_bag,1.3,0,0,0.39,1.95,0.69,1.38,3.33,,,,,,,,,
A1XSL223UP6NMI,5,1,1,laptop,1.1,0,0,0.23,1.15,0.27,0.54,1.69,,,,,,,,,
A1XSL223UP6NMI,5,2,5,kettle,2.7,0,0,0.465,2.325,0.39,0.78,3.105,,,,,,,,,
A1XSL223UP6NMI,5,3,3,pot,3,0,0,0.165,0.825,0.98,1.96,2.785,,,,,,,,,
A1XSL223UP6NMI,5,4,7,lantern,2.7,0,0,0.275,1.375,0.96,1.92,3.295,,,,,,,,,
A1XSL223UP6NMI,5,5,4,radio,1.7,0,0,0.275,1.375,0.82,1.64,3.015,,,,,,,,,
A1XSL223UP6NMI,5,6,2,power_drill,1.2,0,0,0.28,1.4,0.57,1.14,2.54,,,,,,,,,
A1XSL223UP6NMI,5,7,8,golf_bag,1.3,0,0,0.39,1.95,0.69,1.38,3.33,,,,,,,,,
A1XSL223UP6NMI,5,8,6,desk_phone,2.5,0,0,0.465,2.325,0.42,0.84,3.165,,,,,,,,,
A1YY98SJG37KSU,5,1,7,lantern,2.7,0,0,0.275,1.375,0.96,1.92,3.295,,,,,,,,,
A1YY98SJG37KSU,5,2,2,power_drill,1.2,0,0,0.28,1.4,0.57,1.14,2.54,,,,,,,,,
A1YY98SJG37KSU,5,3,5,kettle,2.7,0,0,0.465,2.325,0.39,0.78,3.105,,,,,,,,,
A1YY98SJG37KSU,5,4,6,desk_phone,2.5,0,0,0.465,2.325,0.42,0.84,3.165,,,,,,,,,
A1YY98SJG37KSU,5,5,4,radio,1.7,0,0,0.275,1.375,0.82,1.64,3.015,,,,,,,,,
A1YY98SJG37KSU,5,6,3,pot,3,0,0,0.165,0.825,0.98,1.96,2.785,,,,,,,,,
A1YY98SJG37KSU,5,7,1,laptop,1.1,0,0,0.23,1.15,0.27,0.54,1.69,,,,,,,,,
A1YY98SJG37KSU,5,8,8,golf_bag,1.3,0,0,0.39,1.95,0.69,1.38,3.33,,,,,,,,,
A387T0ENXVTZQD,5,1,1,laptop,1.1,0,0,0.23,1.15,0.27,0.54,1.69,,,,,,,,,
A387T0ENXVTZQD,5,2,5,kettle,2.7,0,0,0.465,2.325,0.39,0.78,3.105,,,,,,,,,
A387T0ENXVTZQD,5,3,2,power_drill,1.2,0,0,0.28,1.4,0.57,1.14,2.54,,,,,,,,,
A387T0ENXVTZQD,5,4,6,desk_phone,2.5,0,0,0.465,2.325,0.42,0.84,3.165,,,,,,,,,
A387T0ENXVTZQD,5,5,3,pot,3,0,0,0.165,0.825,0.98,1.96,2.785,,,,,,,,,
A387T0ENXVTZQD,5,6,7,lantern,2.7,0,0,0.275,1.375,0.96,1.92,3.295,,,,,,,,,
A387T0ENXVTZQD,5,7,4,radio,1.7,0,0,0.275,1.375,0.82,1.64,3.015,,,,,,,,,
A387T0ENXVTZQD,5,8,8,golf_bag,1.3,0,0,0.39,1.95,0.69,1.38,3.33,,,,,,,,,
A3RLZWU3PU2BY8,5,1,1,laptop,1.1,0,0,0.23,1.15,0.27,0.54,1.69,,,,,,,,,
A3RLZWU3PU2BY8,5,2,3,pot,3,0,0,0.165,0.825,0.98,1.96,2.785,,,,,,,,,
A3RLZWU3PU2BY8,5,3,8,golf_bag,1.3,0,0,0.39,1.95,0.69,1.38,3.33,,,,,,,,,
A3RLZWU3PU2BY8,5,4,2,power_drill,1.2,0,0,0.28,1.4,0.57,1.14,2.54,,,,,,,,,
A3RLZWU3PU2BY8,5,5,4,radio,1.7,0,0,0.275,1.375,0.82,1.64,3.015,,,,,,,,,
A3RLZWU3PU2BY8,5,6,6,desk_phone,2.5,0,0,0.465,2.325,0.42,0.84,3.165,,,,,,,,,
A3RLZWU3PU2BY8,5,7,5,kettle,2.7,0,0,0.465,2.325,0.39,0.78,3.105,,,,,,,,,
A3RLZWU3PU2BY8,5,8,7,lantern,2.7,0,0,0.275,1.375,0.96,1.92,3.295,,,,,,,,,
A2NUW1OQTZ1L7L,5,1,1,laptop,1.1,0,0,0.23,1.15,0.27,0.54,1.69,,,,,,,,,
A2NUW1OQTZ1L7L,5,2,2,power_drill,1.2,0,0,0.28,1.4,0.57,1.14,2.54,,,,,,,,,
A2NUW1OQTZ1L7L,5,3,4,radio,1.7,0,0,0.275,1.375,0.82,1.64,3.015,,,,,,,,,
A2NUW1OQTZ1L7L,5,4,8,golf_bag,1.3,0,0,0.39,1.95,0.69,1.38,3.33,,,,,,,,,
A2NUW1OQTZ1L7L,5,5,7,lantern,2.7,0,0,0.275,1.375,0.96,1.92,3.295,,,,,,,,,
A2NUW1OQTZ1L7L,5,6,5,kettle,2.7,0,0,0.465,2.325,0.39,0.78,3.105,,,,,,,,,
A2NUW1OQTZ1L7L,5,7,6,desk_phone,2.5,0,0,0.465,2.325,0.42,0.84,3.165,,,,,,,,,
A2NUW1OQTZ1L7L,5,8,3,pot,3,0,0,0.165,0.825,0.98,1.96,2.785,,,,,,,,,
A2TVJTQ4VXATE6,10,1,5,medicine_ball,1,0,0,0.355,1.775,0.56,1.12,2.895,,,,,,,,,
A2TVJTQ4VXATE6,10,2,8,stool,1.1,0,0,0.405,2.025,0.63,1.26,3.285,,,,,,,,,
A2TVJTQ4VXATE6,10,3,4,chain_saw,1,0,0,0.265,1.325,0.74,1.48,2.805,,,,,,,,,
A2TVJTQ4VXATE6,10,4,7,record_player,1.1,0,0,0.285,1.425,0.84,1.68,3.105,,,,,,,,,
A2TVJTQ4VXATE6,10,5,3,cash_register,1.3,0,0,0.215,1.075,0.8,1.6,2.675,,,,,,,,,
A2TVJTQ4VXATE6,10,6,1,laptop,2.3,0,0,0.295,1.475,0.27,0.54,2.015,,,,,,,,,
A2TVJTQ4VXATE6,10,7,6,power_saw,1.4,0,0,0.45,2.25,0.38,0.76,3.01,,,,,,,,,
A2TVJTQ4VXATE6,10,8,2,power_drill,2.4,0,0,0.265,1.325,0.57,1.14,2.465,,,,,,,,,
A2AAY4VT9L71SY,10,1,5,medicine_ball,1,0,0,0.355,1.775,0.56,1.12,2.895,,,,,,,,,
