synId_prodId,percYes
n03055418::B00D1QY6YQ,1
n03066232::B001O0BJUK,1
n02991048::B00FBMU3UY,1
n03886641::B00BLNIM6E,1
n03336282::B0000DZM3B,1
n04325704::B002XY0RIG,1
n04009552::B00MTFWJVW,1
n03249569::B000COH3LS,1
n03752185::B001RZ9Y4U,1
n04176190::B002N74VX0,1
n03987376::B00005LEN4,1
n03187595::B005D8L2ME,1
n03072201::B00EH2GR7M,0.75
n03617594::B00GU0XHCM,1
n02770585::B000VSKORU,1
n03361109::B00004S7V8,0.666666666666667
n04555897::B00HZKYH4I,1
n02730930::B003KN21NI,1
n04522168::B003NY1522,1
n03018349::B0035HSHBY,1
n03923918::B00FBQQNRM,1
n03533392::B000FVXTD4,1
n03250279::B0002E3L1E,1
n03075370::B000669482,1
n02732072::B007TGMLU0,1
n03513376::B000DZBK6K,0.75
n03739693::B00ELUZF78,1
n03239054::B00M0HJ75A,1
n04519153::B00025675K,1
n03423877::B002YHPVWO,1
n02933340::B004UMAWXY,1
n03657121::B00G97ALA2,1
n04230808::B00MFBCNH0,1
n03563200::B00004Z9BS,1
n03336282::B000LHF4MG,1
n03075097::B000G7AWIM,1
n04593866::B000BYB2K2,1
n03320421::B0085IJQOU,1
n03307792::B008R7FC74,1
n03034663::B000WMDBIE,1
n04556408::B003KQ696A,1
n03727837::B008BW5PHW,1
n03092883::B00546E7MW,1
n02686379::B00IYQXY78,1
n03966976::B000NPR2KI,1
n02809605::B004MFZMI4,1
n03779370::B00000ISLH,0.666666666666667
n03508101::B00LILH47C,0.75
n03502331::B00JMPLGAW,0.75
n03125057::B00J7SZSHG,1
n02949202::B005IV0BJ6,1
n02978881::B008C2915I,0.75
n03404360::B00394Y6Y0,1
n03219483::B00CPHX6WA,1
n02942349::B00HLDFTRS,1
n06267145::B007PSQQNA,0.75
n02881757::B001I0SVX4,1
n04149083::B00H2BTTRU,1
n03761084::B008BXKS14,1
n04315948::B00JGZJJRK,1
n03595614::B00EHFNX4O,1
n04397168::B002DPY5QK,1
n04114844::B00MPI5N7U,1
n03962852::B002KQ5KQ6,0.75
n04228215::B00EPJ1M4K,1
n03885028::B00GNLSXWC,1
n04589434::B002ZTGNH8,1
n03649674::B0042B4AHM,1
n03008976::B00P936188,0.75
n03916031::B000E7WFX4,1
n02933112::B004UMAWXY,1
n04403413::B001VDLZIG,1
n02943241::B00AQUCPFC,1
n02688273::B000VKTUD2,1
n03446268::B007XAF8KM,1
n03075370::B0009V1WMA,1
n03505667::B00CQ35C1Q,1
n02800213::B001MK4LCA,0.75
n03380301::B002FAG962,1
n04116098::B001JT1IMA,1
n03456024::B008JCGBVI,1
n03018349::B0009GVL4Y,1
n02840134::B00KSIFHLQ,0.75
n02817031::B002VY1QBK,1
n04350905::B00FA7ZM2O,1
n04023695::B003QAFBNM,1
n02898585::B00BNOAMEQ,1
n04249415::B001BEGWSS,1
n03923918::B000HQ1PGU,1
n06591815::B0000282R9,0.666666666666667
n04057981::B001F1UFR6,1
n04533946::B0009GPEPQ,0.75
n03918480::B00I02J4SO,1
n03339643::B003UH9I2G,1
n03456024::B00CNZOEWA,1
n03923918::B00FAWWCZY,1
n04099969::B001TQMZWU,1
n03490884::B0037KMSRI,1
n03075097::B00429BV3K,1
n03145522::B005ECZU9U,1
n04608435::B000817DKG,1
n03604763::B00EAK3HF6,0.75
n02970408::B00G2D66KW,1
n03653583::B00H2JEEYU,1
n03938244::B000BHCNYI,1
n03792782::B001DF68MA,1
n03536761::B001BSC4AY,1
n02910353::B00A1ZF27U,0.666666666666667
n04255163::B000M5WT02,0.666666666666667
n04225987::B004JRIVCO,1
n02837789::B00KR2NM7E,1
n02689274::B002U93HMW,1
n03239054::B00421BJXU,1
n04409515::B001OBKB9Y,1
n03873848::B00HVPN45U,0.75
n03125057::B003374OWW,1
n03063199::B0001IRRLQ,1
n04350905::B00CS9G1GI,1
n03430551::B000V0KYQY,0.75
n04009801::B00G46X0OM,1
n03187595::B003XMA9IU,1
n04147495::B000ANFDOK,1
n03772584::B0000BX8L1,1
n03418242::B000DZH3XO,1
n04462011::B003R50PMS,0.75
n02910353::B0082J11SQ,1
n04370456::B0055NSTPA,0.75
n03080497::B005NHTPWO,1
n02901114::B00062NH8O,1
n03902220::B0002ZPUD0,1
n02887209::B00JNIV0FY,1
n02954163::B003C4TLM4,1
n02943241::B003MOHM0C,1
n03456024::B001RTSJ7Y,1
n02788021::B00772ZPCW,1
n02809491::B00AKX1PQU,1
n03779370::B00114OTXI,1
n04397168::B000MM79X2,1
n03589672::B000CO86EG,1
n02854739::B006H6YG9M,1
n03108759::B003AN7EW6,1
n03857828::B006G54K3G,0.75
n04102618::B000GVKJU4,1
n03049924::B00C5UGQY2,0.666666666666667
n04228215::B008VAPNTO,1
n03271260::B000FDBBSW,1
n02826068::B009BC7GQY,1
n02823750::B00JGAX44E,1
n03110669::B002474FO4,1
n03336282::B00012PN3G,0.666666666666667
n03045698::B00NV8AVGG,0.666666666666667
n03402511::B00HPWNANK,1
n03273740::B000690WNU,1
n03995265::B00N8YB3GK,1
n04446844::B0000CNR0J,1
n04392985::B0052EECYO,1
n04402342::B006Z96Y46,1
n03000247::B00KM5SDPW,1
n03610524::B00AAPGA2W,0.75
n04118021::B0054GJTPW,1
n04026417::B00MPG2I9S,1
n06278338::B00JZGVEN2,0.666666666666667
n03589513::B004PX8BC2,0.75
n03320046::B00FXOFM56,1
n02955767::B00MSS9YEK,1
n02694662::B007T0X5UQ,1
n03031012::B008JH97NC,1
n03162818::B003ZEAGFW,1
n03495039::B0085XOHDU,1
n04023695::B004ZMC0P2,1
n04597066::B00CPCBN8E,1
n03238586::B00474MA62,1
n02820675::B00KVN0NEY,1
n03751458::B0000AQO5S,1
n07248320::B00E9EOPYA,1
n03156279::B008FX4NTI,0.666666666666667
n03492922::B000BQUHII,1
n03701790::B00918BI8A,1
n03518829::B001FB63HC,1
n03400972::B0009H528E,1
n03612814::B0086UJQN8,1
n03367059::B005MYXKG0,1
n03793850::B00JLC139A,1
n03063073::B00HC9DX7Y,1
n02809605::B00M1OV1K6,0.75
n04399537::B000A0IKF2,1
n04143897::B00FN31NG4,0.75
n04315948::B00JGZJFYW,1
n04142999::B00EKWE55K,0.75
n03604536::B00L4FX1L0,1
n03044671::B007XRCSOE,1
n02879718::B00213UEYQ,1
n03014705::B00254YA6E,1
n04004990::B0032GO0SW,1
n02678897::B009FX6K5W,1
n03777754::B000JV9LUK,1
n03301940::B00LXA0CU4,0.75
n02769748::B00HW7I9PW,1
n03871724::B00D4NT3SA,1
n04507155::B00024QZYO,1
n04545305::B000L53D4O,1
n03995372::B007XU2TDG,1
n03125729::B00CXGPNC4,1
n03201776::B00DP44P9U,1
n03125057::B00IYZ1FKW,1
n02837789::B00KGE7BQ6,1
n03585073::B001IWMNFY,1
n03425595::B00DEQCZCS,1
n03987376::B00004THCX,1
n03887697::B004YK2KSM,1
n03991646::B0002KRE16,1
n04356056::B003KGTDGI,1
n03742019::B006SEQYOS,1
n04507155::B00BPEEMG8,1
n03732458::B00MVQA6XC,1
n04409515::B00F16NQCM,0.75
n04437276::B00E3MXVGG,1
n03873848::B0044SGZFI,0.75
n03770439::B00207TWDW,1
n04127249::B004PYCYME,1
n03987376::B000B8T6DI,1
n04332987::B00COY99U2,1
n04028074::B00BHJFCYC,1
n04009552::B00NTKZQ0M,1
n04507155::B00P81G8HA,1
n04142731::B00EKWE55K,1
n04593524::B000BWC4MY,1
n02715229::B00DIFIP06,0.666666666666667
n03727837::B004X165F6,0.666666666666667
n03490119::B00E024E3I,1
n03688605::B00JFR875Y,0.75
n03063199::B000FKJNNA,1
n04272054::B0006ZZCJI,1
n03279153::B00NHYAN44,1
n04396808::B000FB1XGY,1
n03179910::B002L88902,1
n04603729::B009A5EF5M,1
n04249415::B004CTKJRO,1
n03066232::B000BYB7H0,1
n03418915::B00LLO57ES,0.75
n03238879::B00KSFDQ9Y,1
n03341606::B00A8DHH1E,0.666666666666667
n03724870::B0060OAM8U,1
n03020416::B0003I68RS,1
n03544238::B00A6GFB5W,1
n04332987::B0009V1WXY,1
n03187595::B0006IEV60,0.666666666666667
n03916031::B000ARDBH2,1
n03425595::B003JOUJIC,1
n03604763::B00L4FX1L0,1
n03495039::B003SLIEHE,1
n04222210::B004LQ1RJ2,1
n02823750::B00005MG3O,1
n03271260::B007T0X5UQ,0.666666666666667
n04057981::B008E6BQVO,1
n03378765::B0026WJY48,1
n03968293::B00004YUKX,1
n03474779::B0051QIIDO,1
n03619650::B00CXRZH1U,1
n04411264::B000SAPXOA,1
n03497657::B00FYZ9XUY,1
n04396902::B000SSYR94,1
n03815615::B00KG6RP92,1
n03188725::B00HB0WIHA,1
n04114301::B00F38Q0C6,1
n03505667::B00JJNQG98,1
n03154073::B0044JOO3M,0.666666666666667
n03044671::B0002JJU2I,1
n04028315::B00JRGG3ZE,1
n04067658::B0000BYBVT,1
n02773037::B00GR9EAJ0,1
n03156279::B005FE074U,1
n03250279::B001BXYQRI,1
n03727946::B0012KUDPE,1
n03701790::B00F34V2ZA,1
n04403413::B00EHP2C28,1
n04597066::B008K1QSOI,1
n03057021::B00LUAM60Q,0.666666666666667
n03733925::B00EYIT1IQ,1
n03649674::B0046A30VG,1
n02886321::B00L3CJOUG,1
n04116098::B001HA8J1E,1
n02747177::B00NVO9332,1
n04328186::B004NNRLGQ,1
n03272383::B00ET7ORW2,1
n03490006::B007P0WIU8,1
n02822220::B003G2ZVSK,1
n04426316::B00IRJ4VMY,1
n04197391::B00BGONOI4,1
n02890940::B000CK5KYY,1
n04402580::B006QVV4Y8,1
n04546194::B002ZB1XE4,1
n02828115::B000C0YM5W,1
n04147495::B002JM0DEK,0.75
n03336282::B0043R83SC,0.666666666666667
n04120489::B00JAH9CQW,1
n03880323::B00CO1O4ZK,1
n04216634::B001713L84,1
n04004767::B00HRYTDU0,0.666666666666667
n03528263::B000FFRYYK,1
n03704549::B009YUXSNI,1
n04560292::B00173GN4Q,1
n03594734::B00IN915WW,1
n04488202::B00BFXZV1E,0.75
n02837789::B00C0PIREE,1
n02715229::B00DIFIO8E,0.75
n03963198::B00CP2N5Z8,1
n03742019::B0029VVO5I,1
n04225987::B00NHZ4Y3O,1
